id,type,initial_frame,detection_duration,lenght
360,car,6695,1,90.039306640625
361,truck,6708,43,409.7246398925781
362,car,6736,45,50.59716796875
363,car,6748,1,66.85552978515625
364,truck,6776,2,124.467529296875
365,truck,6811,1,81.710205078125
366,truck,6845,12,223.405029296875
367,truck,6871,5,216.26007080078125
368,car,6888,50,133.52117919921875
369,car,6898,40,128.8729248046875
370,truck,6904,37,183.41773986816406
371,truck,6906,1,138.96337890625
372,car,6916,49,163.54920959472656
373,car,6946,51,180.90435791015625
374,train,6984,3,467.93846130371094
375,train,7002,2,526.9730224609375
376,motorcycle,7004,2,70.28973388671875
377,car,7021,28,160.6636962890625
378,truck,7021,8,340.994140625
379,car,7021,19,130.9764404296875
380,car,7031,49,120.3331298828125
381,car,7038,29,167.5582275390625
382,car,7061,48,161.2391357421875
383,car,7084,14,150.1064453125
384,car,7090,35,171.611328125
385,car,7093,18,140.3720703125
386,car,7137,57,156.71075439453125
387,car,7149,50,130.81005859375
388,train,7160,32,308.5791015625
389,truck,7175,7,160.79937744140625
390,car,7181,37,177.1793212890625
391,car,7203,12,127.20001220703125
392,car,7228,2,89.159912109375
393,car,7240,37,145.83331298828125
394,car,7252,25,179.03173828125
395,car,7255,1,63.0382080078125
396,car,7278,45,163.141357421875
397,car,7283,38,137.07403564453125
398,truck,7299,56,398.42108154296875
399,car,7313,44,171.81756591796875
400,car,7354,49,173.91082763671875
401,car,7369,40,122.2738037109375
402,car,7399,18,149.2762451171875
403,car,7446,10,131.0628662109375
404,truck,7455,28,192.0657958984375
405,motorcycle,7469,2,63.34375
406,train,7497,3,425.073974609375
407,train,7518,1,381.8199462890625
408,truck,7524,17,403.0350646972656
409,car,7589,12,161.7818603515625
410,truck,7608,26,238.30963134765625
411,truck,7656,34,277.52870178222656
412,train,7715,3,520.94775390625
413,car,7725,6,135.69775390625
414,truck,7732,34,299.1198425292969
415,car,7740,49,121.10369873046875
416,train,7771,26,411.4844665527344
417,car,7830,4,103.519287109375
418,car,7837,42,157.94287109375
419,car,7844,8,116.27099609375
420,motorcycle,7849,2,68.6705322265625
421,train,7855,2,481.35693359375
422,train,7878,10,612.8170166015625
423,car,7921,41,188.78155517578125
424,truck,7921,26,481.9416198730469
425,train,7922,12,504.21038818359375
426,truck,7939,1,90.93359375
427,car,7955,25,132.5689697265625
428,truck,7997,30,412.3318176269531
429,truck,8001,8,484.9210205078125
430,train,8029,8,307.17381286621094
431,truck,8052,29,274.78912353515625
432,car,8073,46,170.761962890625
433,bus,8106,16,191.51318359375
434,train,8115,11,424.0361328125
435,train,8147,5,530.1153564453125
436,truck,8155,27,147.2205810546875
437,car,8168,12,127.9276123046875
438,car,8198,44,145.9482421875
439,car,8206,4,80.5244140625
440,truck,8239,37,344.33685302734375
441,truck,8264,1,182.051025390625
442,truck,8269,2,116.97900390625
443,truck,8273,16,122.7445068359375
444,car,8274,42,167.93421936035156
445,truck,8280,4,181.153076171875
446,car,8281,38,139.12591552734375
447,car,8300,5,94.915771484375
448,car,8309,47,153.1839599609375
449,car,8331,48,128.5594482421875
450,car,8347,40,165.44178771972656
451,car,8356,46,161.7598876953125
452,car,8368,1,125.71337890625
453,car,8375,1,117.957275390625
454,motorcycle,8407,1,59.7142333984375
455,truck,8434,40,362.3662109375
456,train,8459,30,414.74688720703125
457,truck,8461,20,230.225341796875
458,car,8499,44,122.11871337890625
459,train,8532,50,406.73223876953125
460,truck,8565,4,590.3165283203125
461,train,8604,34,406.4986877441406
462,car,8649,50,134.497314453125
463,car,8668,49,161.43125915527344
464,car,8688,52,166.55126953125
465,car,8714,8,84.009521484375
466,car,8732,41,204.857177734375
467,truck,8739,31,401.4386901855469
468,truck,8756,1,578.260498046875
469,car,8765,7,36.357666015625
470,car,8776,2,86.29437255859375
471,truck,8782,8,163.41339111328125
472,car,8813,43,179.97967529296875
473,car,8828,9,108.341064453125
474,truck,8839,31,384.62493896484375
475,car,8915,1,188.1802978515625
476,car,8935,56,129.747314453125
477,car,8948,43,174.81121826171875
478,car,8949,7,121.87548828125
479,motorcycle,8969,1,60.1324462890625
480,car,8973,44,162.60986328125
481,motorcycle,8987,4,62.8828125
482,car,8990,46,165.092529296875
483,car,9002,2,79.88916015625
484,motorcycle,9003,1,48.112060546875
485,car,9011,50,147.49322509765625
486,car,9017,44,124.36322021484375
487,car,9059,11,124.0052490234375
488,car,9099,5,120.8682861328125
489,bus,9118,2,278.79742431640625
490,truck,9178,5,245.79530334472656
491,car,9209,45,168.78594970703125
492,truck,9213,8,210.174072265625
493,truck,9227,22,184.79075622558594
494,truck,9281,19,263.123779296875
495,car,9325,43,167.29901123046875
496,truck,9332,3,176.8350830078125
497,car,9337,46,143.6541748046875
498,truck,9363,24,190.6104736328125
499,truck,9378,7,440.76966857910156
500,car,9444,46,178.26475524902344
501,car,9501,21,127.8477783203125
502,motorcycle,9526,4,71.193603515625
503,car,9543,57,69.33154296875
504,car,9552,37,149.73529052734375
505,car,9567,7,96.9801025390625
506,car,9575,1,102.8740234375
507,car,9576,38,172.742431640625
508,car,9601,43,137.7010498046875
509,truck,9643,17,198.53033447265625
510,car,9653,32,115.4244384765625
511,car,9706,25,105.8076171875
512,truck,9709,38,228.211669921875
513,car,9734,55,131.544921875
514,car,9755,35,164.0574951171875
515,truck,9763,41,247.1668701171875
516,train,9805,27,483.91375732421875
517,train,9810,10,530.0926513671875
518,car,9842,43,171.65667724609375
519,car,9861,22,124.2193603515625
520,train,9884,8,410.1611328125
521,car,9887,15,138.9866943359375
522,car,9893,41,164.67059326171875
523,car,9905,20,152.7423095703125
524,truck,9919,2,296.71923828125
525,train,9920,38,414.34857177734375
526,car,9986,53,157.38600158691406
527,car,9994,43,172.57354736328125
528,motorcycle,10003,5,68.4134521484375
529,train,10015,6,472.0504455566406
530,car,10041,51,161.13267517089844
531,truck,10052,11,285.655029296875
532,car,10072,46,183.93719482421875
533,car,10120,47,183.98187255859375
534,car,10126,50,133.859375
535,car,10144,1,95.59866333007812
536,train,10155,40,450.79254150390625
537,truck,10223,25,423.9122009277344
538,truck,10298,46,362.32537841796875
539,car,10319,45,153.25360107421875
540,car,10320,17,151.15452575683594
541,car,10346,2,154.78460693359375
542,car,10349,51,192.00267028808594
543,truck,10366,28,181.64585876464844
544,car,10369,12,135.23583984375
545,car,10386,52,168.65887451171875
546,car,10388,58,124.16754150390625
547,car,10408,53,138.275634765625
548,motorcycle,10440,1,56.036102294921875
549,car,10446,54,139.6685791015625
550,truck,10452,8,186.81593322753906
551,truck,10488,3,112.6866455078125
552,train,10494,25,400.7964172363281
553,truck,10547,11,174.7330322265625
554,truck,10571,32,192.10247802734375
555,car,10575,50,160.16839599609375
556,truck,10603,19,132.5263671875
557,car,10627,15,139.56060791015625
558,car,10639,2,130.7777099609375
559,car,10641,51,180.831298828125
560,car,10659,66,135.668212890625
561,truck,10681,14,127.477783203125
562,train,10685,1,393.36090087890625
563,truck,10693,24,199.23512268066406
564,bus,10703,2,279.210693359375
565,car,10711,38,155.2396240234375
566,car,10736,50,144.9951171875
567,car,10745,30,142.5235595703125
568,car,10745,42,177.55609130859375
569,truck,10778,47,350.85987854003906
570,car,10794,6,82.5709228515625
571,train,10842,8,387.24249267578125
572,car,10886,53,134.85833740234375
573,motorcycle,10890,1,57.0343017578125
574,car,10917,1,117.31219482421875
575,car,10936,60,177.07135009765625
576,car,10941,4,94.4403076171875
577,truck,10952,4,157.7176513671875
578,train,10979,9,313.94317626953125
579,car,11009,27,120.18658447265625
580,car,11012,57,164.512939453125
581,train,11022,8,196.459716796875
